--- REPORTE DIA 3 ---
ESTADISTICAS
- Cantidad de agendados:	32186
- Cantidad de solicitudes en espera:	51534
- Vacunas disponibles:	3068

LISTA DE AGENDADOS
1)	CI: I-9-89 | Edad:89 | Riesgo: 5
2)	CI: I-1-64 | Edad:64 | Riesgo: 3
3)	CI: I-0-46 | Edad:46 | Riesgo: 4
4)	CI: I-3-53 | Edad:53 | Riesgo: 1
5)	CI: I-6-37 | Edad:37 | Riesgo: 3
6)	CI: I-4-72 | Edad:72 | Riesgo: 3
7)	CI: I-2-77 | Edad:77 | Riesgo: 2
8)	CI: I-5-86 | Edad:86 | Riesgo: 2
9)	CI: I-8-76 | Edad:76 | Riesgo: 1
10)	CI: I-9-73 | Edad:73 | Riesgo: 5
11)	CI: I-1-87 | Edad:87 | Riesgo: 3
12)	CI: I-0-85 | Edad:85 | Riesgo: 2
13)	CI: I-3-82 | Edad:82 | Riesgo: 1
14)	CI: I-6-78 | Edad:78 | Riesgo: 1
15)	CI: I-4-86 | Edad:86 | Riesgo: 1
16)	CI: I-2-81 | Edad:81 | Riesgo: 1
17)	CI: I-5-74 | Edad:74 | Riesgo: 5
18)	CI: I-8-66 | Edad:66 | Riesgo: 3
19)	CI: I-9-71 | Edad:71 | Riesgo: 5
20)	CI: I-1-85 | Edad:85 | Riesgo: 1
21)	CI: I-0-80 | Edad:80 | Riesgo: 1
22)	CI: I-3-56 | Edad:56 | Riesgo: 5
23)	CI: I-6-78 | Edad:78 | Riesgo: 3
24)	CI: I-4-77 | Edad:77 | Riesgo: 5
25)	CI: I-2-84 | Edad:84 | Riesgo: 2
26)	CI: I-5-86 | Edad:86 | Riesgo: 3
27)	CI: I-8-30 | Edad:30 | Riesgo: 1
28)	CI: I-9-82 | Edad:82 | Riesgo: 1
29)	CI: I-1-73 | Edad:73 | Riesgo: 1
30)	CI: I-0-86 | Edad:86 | Riesgo: 2
31)	CI: I-3-82 | Edad:82 | Riesgo: 1
32)	CI: I-6-32 | Edad:32 | Riesgo: 3
33)	CI: I-4-75 | Edad:75 | Riesgo: 2
